School_ID,Survey_ID,Site,Time,Latitude,Longitude,AS,CC,WH,WS,SA,Saz,TH,CSD,CSD_number,CON,School_size,School_bin,School_size_name,Contrast,Contrast_number,Bottom_type_tone,Bottom_type_tone_code
F001,210517_Nettle_M2P_01,Nettle,8:44:38,48.934752,-125.247279,6.1,1,2,3.4,29,93.2,1.2,H,3,H,5,1,Small,H,2,Light sand,LT_SAND
F002,210517_Nettle_M2P_01,Nettle,8:49:35,48.936086,-125.248487,6.1,1,2,3.4,29,93.2,1.2,H,3,H,500,2,Medium,L,1,Dark water column,DK_WAT
F006,210518_Nettle_M2P_01,Nettle,7:57:15,48.934816,-125.24737,6.6,0.8,1,0,21.3,84.1,2.1,H,3,H,100,1,Small,H,2,Light sand bottom,LT_SAND
F007,210518_Nettle_M2P_01,Nettle,7:57:19,48.934756,-125.247277,6.6,0.8,1,0,21.3,84.1,2.1,H,3,H,100,1,Small,H,2,Light sand bottom,LT_SAND
F008,210518_Nettle_M2P_01,Nettle,7:57:23,48.934687,-125.247171,6.6,0.8,1,0,21.3,84.1,2.1,H,3,H,70,1,Small,H,2,Light sand bottom,LT_SAND
F009,210518_Nettle_M2P_01,Nettle,8:01:05,48.934738,-125.24704,6.6,0.8,1,0,21.3,84.1,2.1,H,3,H,30,1,Small,H,2,Light sand bottom,LT_SAND
F010,210518_Nettle_M2P_01,Nettle,8:08:09,48.934848,-125.247213,6.6,0.8,1,0,21.3,84.1,2.1,H,3,H,100,1,Small,H,2,Light sand bottom,LT_SAND
F011,210518_Nettle_M2P_02,Nettle,8:05:56,48.935009,-125.247248,6.6,0.6,1,0,22.8,85.7,2.1,H,3,H,70,1,Small,H,2,Light water column,LT_WAT
F012,210518_Nettle_M2P_02,Nettle,8:06:00,48.934945,-125.247149,6.6,0.6,1,0,22.8,85.7,2.1,H,3,H,50,1,Small,H,2,Light sand bottom,LT_SAND
F014,210518_Nettle_M2P_02,Nettle,8:09:40,48.935011,-125.247042,6.6,0.6,1,0,22.8,85.7,2.1,H,3,H,20,1,Small,H,2,Light sand bottom,LT_SAND
F015,210518_Nettle_M2P_02,Nettle,8:09:50,48.935198,-125.247334,6.6,0.6,1,0,22.8,85.7,2.1,H,3,H,200,1,Small,H,2,Dark deep eelgrass,DK_VEG
F016,210519_ClarkeCamp_M2P_01,Clarke,7:26:37,48.892787,-125.373507,6.1,0.05,0,0,17.3,79.3,2.4,H,3,H,5,1,Small,H,2,Medium water column,MD_WAT
F019,210519_ClarkeCamp_M2P_01,Clarke,7:34:54,48.893112,-125.373868,6.1,0.05,2,0,17.3,79.3,2.4,H,3,H,30,1,Small,H,2,Medium water column,MD_WAT
F020,210519_ClarkeCamp_M2P_01,Clarke,7:34:58,48.893063,-125.373992,6.1,0.05,2,0,17.3,79.3,2.4,H,3,H,50,1,Small,H,2,Medium water column,MD_WAT
F021,210519_ClarkeCamp_M2P_01,Clarke,7:37:41,48.893099,-125.374193,6.1,0.05,0,0,17.3,79.3,2.4,H,3,H,100,1,Small,H,2,Light water column,LT_WAT
F022,210519_ClarkeCamp_M2P_01,Clarke,7:37:43,48.893127,-125.374123,6.1,0.05,0,0,17.3,79.3,2.4,H,3,H,150,1,Small,H,2,Light water column,LT_WAT
F023,210519_ClarkeCamp_M2P_01,Clarke,7:39:27,48.893342,-125.373881,6.1,0.05,0,0,17.3,79.3,2.4,H,3,H,100,1,Small,H,2,medium water column,MD_WAT
F024,210519_ClarkeCamp_M2P_01,Clarke,7:39:32,48.893275,-125.374045,6.1,0.05,0,0,17.3,79.3,2.4,H,3,H,100,1,Small,H,2,Medium water column,MD_WAT
F025,210519_ClarkeCamp_M2P_02,Clarke,7:48:58,48.892856,-125.376291,6.1,0.15,0,0,20.1,82.4,2.4,H,3,H,50,1,Small,H,2,light sand bottom,LT_SAND
F026,210519_ClarkeCamp_M2P_02,Clarke,7:50:16,48.893251,-125.375583,6.1,0.15,0,0,20.1,82.4,2.4,H,3,H,50,1,Small,H,2,Light sand bottom,LT_SAND
F027,210519_ClarkeCamp_M2P_02,Clarke,7:50:01,48.893314,-125.375426,6.1,0.15,0,0,20.1,82.4,2.4,H,3,H,50,1,Small,H,2,Light sand bottom,LT_SAND
F028,210519_ClarkeCamp_M2P_02,Clarke,7:50:48,48.893668,-125.374542,6.1,0.15,0,0,20.1,82.4,2.4,H,3,H,40,1,Small,H,2,Light sand bottom,LT_SAND
F029,210519_ClarkeCamp_M2P_02,Clarke,7:51:37,48.89348,-125.37531,6.1,0.15,0,0,20.1,82.4,2.4,H,3,H,100,1,Small,H,2,Light sand bottom,LT_SAND
F030,210519_ClarkeCamp_M2P_02,Clarke,7:51:43,48.89341,-125.375483,6.1,0.15,0,0,20.1,82.4,2.4,H,3,H,100,1,Small,H,2,Light sand bottom,LT_SAND
F031,210519_ClarkeCamp_M2P_02,Clarke,7:52:07,48.893082,-125.376298,6.1,0.15,0,0,20.1,82.4,2.4,H,3,H,100,1,Small,H,2,Medium sand bottom,MD_SAND
F032,210519_ClarkeCamp_M2P_02,Clarke,7:52:53,48.893028,-125.376707,6.1,0.15,0,0,20.1,82.4,2.4,H,3,H,50,1,Small,H,2,Light sand bottom,LT_SAND
F033,210519_ClarkeCamp_M2P_02,Clarke,7:53:01,48.893135,-125.376444,6.1,0.15,0,0,20.1,82.4,2.4,H,3,H,50,1,Small,H,2,Light sand bottom,LT_SAND
F034,210519_ClarkeCamp_M2P_02,Clarke,7:53:05,48.893189,-125.37631,6.1,0.15,0,0,20.1,82.4,2.4,H,3,H,50,1,Small,H,2,Light sand,LT_SAND
F035,210519_FishFinding_M2P_01,Clarke,7:53:35,48.893162,-125.375608,6.1,0.15,0,0,21.5,84,2.4,H,3,H,100,1,Small,L,1,medium water colum,MD_WAT
F036,210519_FishFinding_M2P_01,Clarke,7:53:43,48.893072,-125.375523,6.1,0.15,0,0,21.5,84,2.4,H,3,H,50,1,Small,L,1,light water column,LT_WAT
F037,210519_FishFinding_M2P_01,Clarke,7:53:55,48.893035,-125.375453,6.1,0.15,0,0,21.5,84,2.4,H,3,H,300,2,Medium,L,1,Light water column,LT_WAT
F038,210519_FishFinding_M2P_01,Clarke,7:54:57,48.893122,-125.375512,6.1,0.15,0,0,21.5,84,2.4,M,2,L/M,100,1,Small,L,1,Light water column,LT_WAT
F039,210519_FishFinding_M2P_01,Clarke,7:54:57,48.893122,-125.375512,6.1,0.15,0,0,21.5,84,2.4,H,3,H,100,1,Small,H,2,Light water column,LT_WAT
F040,210519_FishFinding_M2P_01,Clarke,7:55:15,48.892979,-125.37553,6.1,0.15,0,0,21.5,84,2.4,H,3,H,50,1,Small,H,2,Light water column,LT_WAT
F041,210519_FishFinding_M2P_01,Clarke,7:56:35,48.892955,-125.375494,6.1,0.15,1,0,21.5,84,2.4,H,3,H,100,1,Small,L,1,Light water column,LT_WAT
F042,210519_FishFinding_M2P_01,Clarke,7:58:16,48.892816,-125.375317,6.1,0.15,1,0,21.5,84,2.4,H,3,H,50,1,Small,L,1,Light water column,LT_WAT
F043,210519_FishFinding_M2P_01,Clarke,7:59:45,48.89293,-125.375419,6.1,0.15,1,0,21.5,84,2.4,H,3,H,100,1,Small,L,1,Light water column,LT_WAT
F044,210519_FishFinding_M2P_01,Clarke,8:01:19,48.892915,-125.375366,6.1,0.15,1,0,21.5,84,2.4,H,3,H,50,1,Small,L,1,Light water column,LT_WAT
F045,210519_FishFinding_M2P_01,Clarke,8:01:36,48.892958,-125.375416,6.1,0.15,1,0,21.5,84,2.4,H,3,H,50,1,Small,L,1,Light water column,LT_WAT
F046,210519_FishFinding_M2P_01,Clarke,8:02:49,48.893016,-125.375324,6.1,0.15,0,0,21.5,84,2.4,H,3,H,50,1,Small,L,1,Medium water column,MD_WAT
F047,210519_FishFinding_M2P_01,Clarke,8:04:08,48.893103,-125.375182,6.1,0.15,1,0,21.5,84,2.4,H,3,H,200,1,Small,L,1,Medium water column,MD_WAT
F048,210519_FishFinding_M2P_01,Clarke,8:10:00,48.893134,-125.375377,6.1,0.15,0,0,21.5,84,2.4,H,3,H,50,1,Small,H,2,medium water column,MD_WAT
F049,210519_ClarkeCamp_M2P_03,Clarke,8:15:38,48.893388,-125.374959,6.1,0.15,1,2.5,25,87.8,2.4,H,3,H,100,1,Small,L,1,Light water column,LT_WAT
F050,210519_ClarkeCamp_M2P_03,Clarke,8:15:59,48.893119,-125.375632,6.1,0.15,1,2.5,25,87.8,2.4,H,3,H,50,1,Small,H,2,Light sand bottom,LT_SAND
F051,210519_ClarkeCamp_M2P_03,Clarke,8:18:59,48.89349,-125.375285,6.1,0.15,1,2.5,25,87.8,2.4,H,3,H,50,1,Small,H,2,Light sand bottom,LT_SAND
F052,210519_ClarkeCamp_M2P_03,Clarke,8:19:40,48.892955,-125.376616,6.1,0.15,0,2.5,25,87.8,2.4,H,3,H,50,1,Small,H,2,Light sand bottom,LT_SAND
F053,210519_ClarkeCamp_M2P_03,Clarke,8:20:15,48.893026,-125.376714,6.1,0.15,0,2.5,25,87.8,2.4,H,3,H,50,1,Small,H,2,Light sand bottom,LT_SAND
F054,210519_ClarkeCamp_M2P_03,Clarke,8:20:24,48.893148,-125.376406,6.1,0.15,0,2.5,25,87.8,2.4,H,3,H,40,1,Small,H,2,Light sand bottom,LT_SAND
F055,210519_ClarkeCamp_M2P_03,Clarke,8:20:29,48.89321,-125.376259,6.1,0.15,0,2.5,25,87.8,2.4,H,3,H,70,1,Small,H,2,Light sand bottom,LT_SAND
F056,210519_ClarkeCamp_M2P_03,Clarke,8:21:46,48.893757,-125.375208,6.1,0.15,0,2.5,25,87.8,2.4,H,3,H,100,1,Small,L,1,Light sand bottom,LT_SAND
F057,210519_ClarkeCamp_M2P_03,Clarke,8:22:16,48.89337,-125.376179,6.1,0.15,0,2.5,25,87.8,2.4,H,3,H,100,1,Small,H,2,dark seaweed bottom,DK_VEG
F058,210519_ClarkeCamp_M2P_03,Clarke,8:22:21,48.893308,-125.37634,6.1,0.15,0,2.5,25,87.8,2.4,H,3,H,50,1,Small,H,2,Light sand bottom,LT_SAND
F059,210519_ClarkeCamp_M2P_03,Clarke,8:23:44,48.893804,-125.37537,6.1,0.15,0,2.5,25,87.8,2.4,H,3,H,50,1,Small,H,2,Light sand bottom,LT_SAND
F060,210519_ClarkeCamp_M2P_03,Clarke,8:23:46,48.893834,-125.375295,6.1,0.15,0,2.5,25,87.8,2.4,H,3,H,200,1,Small,H,2,Light sand bottom,LT_SAND
F061,210519_ClarkeCamp_M2P_03,Clarke,8:23:46,48.893834,-125.375295,6.1,0.15,0,2.5,25,87.8,2.4,H,3,H,100,1,Small,L,1,Light sand bottom,LT_SAND
F062,210519_ClarkeCamp_M2P_03,Clarke,8:23:50,48.893881,-125.375177,6.1,0.15,0,2.5,25,87.8,2.4,H,3,H,300,2,Medium,H,2,Light sand bottom,LT_SAND
F064,210520_Nettle_M2P_01,Nettle,7:06:11,48.935107,-125.247819,6.9,0,0,0,13.6,17.8,2.7,H,3,H,50,1,Small,H,2,Dark eelgrass,DK_VEG
